query_product,query_leaf_category,precision@5,recall,average_precision
TheLostPuppy Back Cover for Apple iPad Air,cases covers,1.0,0.007886435331230283,1.0
Decron Jewels Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Anna Andre Paris Majesty & Floralina Combo Set,combos,1.0,0.016181229773462782,1.0
Mask Lifestyle Women's Printed Casual Shirt,shirts,1.0,0.004105090311986864,1.0
Platinum Cotton Silk Blend Solid Blouse Material,blouse material,1.0,0.09090909090909091,1.0
Peora Sanmita Gold Plated Alloy Jewel Set,jewellery,1.0,0.042735042735042736,1.0
Karatcraft Vinea Yellow Gold Diamond 18 K Ring,rings,1.0,0.008635578583765112,1.0
Radiant Bay Knuckle Delight White Gold Diamond 14 K Ring,rings,1.0,0.008635578583765112,1.0
Jojo Flip Cover for Prestigio Multipad 7.0 Ultra +,cases covers,1.0,0.007886435331230283,1.0
Zaicus Vintage Rivets Choker Statement Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Fuson Back Cover for Samsung Galaxy J7,cases covers,1.0,0.007886435331230283,1.0
Durian Leatherette 2 Seater Sofa,sofas sectionals,1.0,0.12195121951219512,1.0
"The Intellect Bazaar Cotton Bath Towel, Baby Towel",baby bath towels,1.0,0.38461538461538464,1.0
Being Fab Women's Solid Casual Shirt,shirts,1.0,0.004105090311986864,1.0
Regent Analog 28 cm Dia Wall Clock,wall clocks,1.0,0.09803921568627451,1.0
JJC LH-87  Lens Hood,lens hoods,1.0,0.11363636363636363,1.0
Cation Casual Short Sleeve Solid Women's Top,tops,1.0,0.015015015015015015,1.0
"FashionPedia Canvas Shoes, Sneakers",canvas,1.0,1.0,1.0
Style World Women Flats,women flats,1.0,0.2777777777777778,1.0
"Shop Rajasthan Casual, Formal Embroidered, Printed Women's Kurti",kurtis,1.0,0.0364963503649635,1.0
Shadi Bazaar Acrylic Chudas,bangles,1.0,0.016233766233766232,1.0
WallDesign Small Vinyl Sticker,stickers,1.0,0.03164556962025317,1.0
Kaira Women's Shift Dress,dresses,1.0,0.013966480446927373,1.0
Sportking Women's Leggings,leggings jeggings,1.0,0.03424657534246575,1.0
Purpledip Kattle Showpiece  -  15 cm,ethnic,1.0,0.038461538461538464,1.0
Oye Top With Skirts Girl's  Combo,combo sets,1.0,0.21739130434782608,1.0
Popnetic Casual Short Sleeve Solid Women's Top,tops,1.0,0.015015015015015015,1.0
Oxolloxo Casual Sleeveless Embellished Women's Top,tops,1.0,0.015015015015015015,1.0
Fastrack 9770PL01 Sport Analog Watch  - For Women,wrist watches,1.0,0.013123359580052493,1.0
Charvee Acrylic Bangle,bangles,1.0,0.016233766233766232,1.0
S4S Comfortable Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Indi Bargain Women's A-line Dress,dresses,1.0,0.013966480446927373,1.0
Wecart Graphic Print Men's V-neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
U. R. GOD Business / Visiting 8 Card Holder,business visiting card holder set,1.0,0.024390243902439025,1.0
Gmi Casual Solid Women's Kurti,kurtis,1.0,0.0364963503649635,1.0
next steps Baby Girl's Striped Top & Pyjama Set,baby girl striped pyjama set,1.0,0.012953367875647668,1.0
The Jewelbox Brass Brass Bangle,bangles,1.0,0.016233766233766232,1.0
Bosch 2 608 521 040 Screwdriver Bit Set,screwdriver bit sets,1.0,0.7142857142857143,1.0
Indi Bargain Women's A-line Dress,dresses,1.0,0.013966480446927373,1.0
Tenda F303 Wireless N300 Easy Setup Router,routers,1.0,0.032679738562091505,1.0
Allure Auto CM 1900 Car Mat Hyundai Xcent,car mats,1.0,0.01160092807424594,1.0
Vala'S Printed Women's Tunic,printed women tunic,1.0,0.0010113268608414239,1.0
Generation Z Women's Leggings,leggings jeggings,1.0,0.03424657534246575,1.0
Anuradha Art ZBF-263 Hair Clip,zbf 263 hair clip blue,1.0,0.0017686593562079944,1.0
Origin Sport Solid Men's Round Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Demokrazy Solid Men's Maroon Track Pants,track pants,1.0,0.13157894736842105,1.0
Oshea Herbals UV Shield Sun Block Cream - SPF 30,sunscreen,1.0,0.18518518518518517,1.0
"Li-Ning ABQJ064-2S Basketball -   Size: 7,  Diameter: 24.25 cm",basketballs,1.0,0.25,1.0
Praniti Resin Bangle Set,bangles,1.0,0.016233766233766232,1.0
Okane Striped Men's Polo Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
GoldNera Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Cation Casual Sleeveless Solid Women's Top,tops,1.0,0.015015015015015015,1.0
Wild Republic Nature Tube Rainforest,nature tube rainforest multicolor,1.0,0.018796992481203006,1.0
Dilan Jewels Alloy Zircon 18K Yellow Gold Bangle Set,alloy zircon 18k yellow gold bangle,0.6,0.5,0.6
Flirtchick Yellow Gold Plated Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Harpa Women's Printed Casual Shirt,shirts,1.0,0.004105090311986864,1.0
Voylla Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
SMS Elegant Squirt Gun 1 L Hand Held Sprayer,elegant squirt gun hand held sprayer pa,1.0,0.01592356687898089,1.0
JRB 1042 Smallest Mobile Powered By OTG Enabled Android Smart Phone Portable 1042 USB Fan,1042 smallest mobile powered otg enabled,1.0,0.011013215859030838,1.0
Lajo Women's Salwar and Dupatta Set,women salwar dupatta set,1.0,0.38461538461538464,1.0
Regent Analog 31 cm Dia Wall Clock,wall clocks,1.0,0.09803921568627451,1.0
Page3 P3TBW Women's Tube Bra,bras,1.0,0.006273525721455458,1.0
Hi Look Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Ocean Race Solid Men's Round Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Theskinmantra Sleeve for All versions of Apple ipad,cases covers,1.0,0.007886435331230283,1.0
